City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
166,Longyearbyen,SJ,78.2186,15.6401,19.24,93,75,3.44,light snow,2022-02-08 01:38:39
167,Mahibadhoo,MV,3.7833,72.9667,81.5,68,100,15.59,overcast clouds,2022-02-08 01:38:39
168,Koungheul,SN,13.9833,-14.8,76.08,12,1,7.56,clear sky,2022-02-08 01:38:40
169,Maiduguri,NG,11.8464,13.1603,65.3,27,0,8.93,clear sky,2022-02-08 01:38:40
170,Coos Bay,US,43.3665,-124.2179,52.0,96,100,8.05,overcast clouds,2022-02-08 01:38:41
171,Omboue,GA,-1.5746,9.2618,77.77,88,56,5.73,broken clouds,2022-02-08 01:38:42
172,Chokurdakh,RU,70.6333,147.9167,-43.47,99,97,4.68,overcast clouds,2022-02-08 01:38:42
173,Murgab,TM,37.4966,61.9714,33.67,80,40,0.0,scattered clouds,2022-02-08 01:38:43
174,Wairoa,NZ,-39.0333,177.3667,71.55,92,99,4.0,overcast clouds,2022-02-08 01:38:43
175,Kalemie,CD,-5.9475,29.1947,68.74,87,100,0.85,light rain,2022-02-08 01:38:45
176,Varhaug,NO,58.6147,5.6457,45.95,85,100,24.05,overcast clouds,2022-02-08 01:38:45
177,Cape Town,ZA,-33.9258,18.4232,69.1,91,100,11.5,fog,2022-02-08 01:35:09
178,Tiksi,RU,71.6872,128.8694,-26.28,99,47,5.37,scattered clouds,2022-02-08 01:38:46
179,Praya,CV,14.9215,-23.5087,66.74,82,20,6.91,few clouds,2022-02-08 01:38:47
180,Pauini,BR,-7.7136,-66.9764,73.29,98,86,1.14,overcast clouds,2022-02-08 01:38:48
181,Provideniya,RU,64.3833,-173.3,-3.89,59,0,15.66,clear sky,2022-02-08 01:38:48
182,Zhigansk,RU,66.7697,123.3711,-27.0,95,100,12.95,overcast clouds,2022-02-08 01:38:49
183,Ushtobe,KZ,45.2514,77.9838,24.46,95,100,9.46,overcast clouds,2022-02-08 01:38:50
184,Nipawin,CA,53.3668,-104.0009,28.44,86,100,8.05,overcast clouds,2022-02-08 01:38:50
185,Gat,IL,31.61,34.7642,51.4,100,18,4.5,few clouds,2022-02-08 01:38:05
186,Nemuro,JP,43.3236,145.575,27.03,67,30,4.54,scattered clouds,2022-02-08 01:38:53
187,North Myrtle Beach,US,33.816,-78.68,43.11,91,100,6.91,overcast clouds,2022-02-08 01:38:40
188,Brae,GB,60.3964,-1.353,40.91,74,100,29.73,overcast clouds,2022-02-08 01:38:54
189,Constitucion,CL,-35.3333,-72.4167,57.6,93,34,8.03,scattered clouds,2022-02-08 01:38:54
190,Faya,SA,18.3851,42.4509,48.31,76,8,1.9,clear sky,2022-02-08 01:38:55
191,San Quintin,MX,30.4833,-115.95,60.67,44,0,4.56,clear sky,2022-02-08 01:38:55
192,Diego De Almagro,CL,-26.3667,-70.05,66.49,36,0,0.76,clear sky,2022-02-08 01:38:56
193,Lompoc,US,34.6391,-120.4579,66.34,66,0,8.05,clear sky,2022-02-08 01:38:56
194,Saint George,US,37.1041,-113.5841,57.79,22,0,0.0,clear sky,2022-02-08 01:36:26
195,Puerto Colombia,CO,10.9878,-74.9547,78.89,84,8,23.67,clear sky,2022-02-08 01:38:57
196,Mareeba,AU,-17.0,145.4333,82.49,78,39,4.52,scattered clouds,2022-02-08 01:38:58
197,Flinders,AU,-34.5833,150.8552,78.19,58,26,8.01,scattered clouds,2022-02-08 01:38:58
198,Barcelos,PT,41.5388,-8.6151,57.34,59,0,6.49,clear sky,2022-02-08 01:38:59
199,Omsukchan,RU,62.5333,155.8,-8.52,78,53,2.8,broken clouds,2022-02-08 01:39:01
200,Yerbogachen,RU,61.2767,108.0108,-17.14,100,94,5.23,overcast clouds,2022-02-08 01:39:01
201,Hasaki,JP,35.7333,140.8333,39.6,93,100,17.4,light rain,2022-02-08 01:39:02
202,Hailar,CN,49.2,119.7,3.76,94,97,6.89,overcast clouds,2022-02-08 01:39:02
203,Tayturka,RU,52.8692,103.4608,16.38,85,100,8.05,overcast clouds,2022-02-08 01:39:03
204,Chuy,UY,-33.6971,-53.4616,62.29,83,17,7.52,few clouds,2022-02-08 01:39:04
205,Nizhnyaya Tavda,RU,57.6731,66.1725,2.68,97,88,6.51,overcast clouds,2022-02-08 01:39:04
206,Vardo,NO,70.3705,31.1107,25.18,83,100,19.44,overcast clouds,2022-02-08 01:39:05
207,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.84,88,100,9.71,overcast clouds,2022-02-08 01:34:44
208,Mar Del Plata,AR,-38.0023,-57.5575,64.87,76,40,4.0,scattered clouds,2022-02-08 01:39:06
209,Bambanglipuro,ID,-7.95,110.2833,82.54,70,100,4.27,overcast clouds,2022-02-08 01:39:06
210,Atar,MR,20.5169,-13.0499,70.88,10,94,6.64,overcast clouds,2022-02-08 01:39:06
211,Gizo,SB,-8.103,156.8419,84.6,74,100,9.69,light rain,2022-02-08 01:39:07
212,Saldanha,ZA,-33.0117,17.9442,63.9,97,49,12.66,scattered clouds,2022-02-08 01:39:08
213,Lhokseumawe,ID,5.1801,97.1507,79.29,79,99,3.58,overcast clouds,2022-02-08 01:39:09
214,Altamira,BR,-3.2033,-52.2064,72.73,98,82,1.41,broken clouds,2022-02-08 01:39:09
215,Awash,ET,8.9833,40.1667,68.38,63,57,1.41,broken clouds,2022-02-08 01:39:10
