City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
414,Kudat,MY,82.33,few clouds,6.8837,116.8477,Dream Garden Hotel
415,West Bay,KY,77.07,few clouds,19.3667,-81.4167,Calypso Cove
416,Guasdualito,VE,84.2,scattered clouds,7.2424,-70.7324,Hotel Cuibas
420,Bandarbeyla,SO,74.61,clear sky,9.4942,50.8122,JABIR HOTEL
424,Orange Cove,US,69.85,clear sky,36.6244,-119.3137,
426,Wahiawa,US,75.52,overcast clouds,21.5028,-158.0236,Aloha Wahiawa
428,Mancio Lima,BR,70.32,broken clouds,-7.6142,-72.8958,Motel Asas Do Desejo
429,San Andres,CO,78.82,few clouds,12.5847,-81.7006,Hotel Arena Blanca
430,Zambezi,ZM,64.45,light rain,-13.5432,23.1047,Royal Kutachika Lodge
431,The Valley,AI,77.09,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
432,Cap Malheureux,MU,75.69,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
435,Punto Fijo,VE,78.76,scattered clouds,11.6956,-70.1996,Santa Fe Inn Hotel
436,Arlit,NE,61.93,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
438,Rawson,AR,82.6,clear sky,-43.3002,-65.1023,Hosteria Sampedro
441,Sur,OM,65.68,clear sky,22.5667,59.5289,Sur Plaza Hotel
444,Biak,ID,83.57,broken clouds,-0.9131,122.8766,Penginapan Kim
446,Lahat,ID,77.27,broken clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
448,Wukari,NG,71.8,scattered clouds,7.85,9.7833,Elimtop
449,Natal,BR,81.25,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
450,Honolulu,US,78.62,broken clouds,21.3069,-157.8583,Aston at the Executive Centre Hotel
456,Saint-Philippe,RE,74.79,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
458,Grand Gaube,MU,75.6,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
467,Port Moresby,PG,89.02,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
468,Kilinochchi,LK,74.68,overcast clouds,9.3961,80.3982,Solaivanam Guest House
475,Barra Do Bugres,BR,72.41,overcast clouds,-15.0725,-57.1811,Hotel 4AM Petrofurt
479,Maragua,KE,66.18,broken clouds,-0.7833,37.1333,Escorts Hotel and Lodges
480,Kalabo,ZM,63.82,broken clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
483,Buala,SB,83.68,light rain,-8.145,159.5921,Maringe Lagoon Lodge
485,Formosa,AR,69.78,clear sky,-26.1775,-58.1781,Hotel Portal del Sol
486,Bima,ID,84.65,overcast clouds,-8.4667,118.7167,Lambitu Hotel
487,Dakar,SN,70.68,clear sky,14.6937,-17.4441,Redface Studios Meublés
490,Dunedin,NZ,62.56,clear sky,-45.8742,170.5036,Scenic Hotel Southern Cross
491,Morondava,MG,80.2,moderate rain,-20.2833,44.2833,La Case Bambou
492,Galeras,CO,77.72,overcast clouds,9.161,-75.0481,Finca el Naranjal
493,Gurun,MY,82.17,overcast clouds,5.8172,100.4738,The Jerai Hill Resort
495,Pemangkat,ID,76.03,overcast clouds,1.1667,108.9667,Ramah Kost KITA
496,Pa Sang,TH,75.34,few clouds,18.5262,98.9394,โรงแรม จามจุรี 99
498,Kuching,MY,77.22,few clouds,1.55,110.3333,The Ranee Boutique Suites
499,Wanaka,NZ,74.1,clear sky,-44.7,169.15,Wanaka Homestead Lodge and Cottages
500,Warri,NG,76.24,clear sky,5.5167,5.75,BON Hotel Delta
507,Pisco,PE,69.03,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
